strike,type,gamma,open_interest
19400,call,6.3e-05,214
19400,put,6.3e-05,985
19500,call,0.000142,258
19500,put,0.000142,1584
19600,call,0.000276,399
19600,put,0.000276,2221
19700,call,0.000463,764
19700,put,0.000463,2641
19800,call,0.00067,1522
19800,put,0.00067,2641
19900,call,0.000836,2762
19900,put,0.000836,2221
20000,call,0.0009,4311
20000,put,0.0009,1584
20100,call,0.000836,5658
20100,put,0.000836,985
20200,call,0.00067,6200
20200,put,0.00067,568
20300,call,0.000463,5658
20300,put,0.000463,343
20400,call,0.000276,4311
20400,put,0.000276,246
20500,call,0.000142,2762
20500,put,0.000142,212
20600,call,6.3e-05,1522
20600,put,6.3e-05,202
